,0,1,2,pH,label
185,-0.5274968742736772,-0.06028273105384774,-0.025179658521374958,3.36,1
184,-0.5598513053509147,-0.029931093147790352,-0.019894308339687132,3.36,1
183,-0.5625722556729021,-0.0046191163972089146,-0.006378364919714384,3.36,1
181,-0.536208797487249,-0.04996248557054996,-0.02846641558280193,3.36,1
186,-0.5984898607996809,-0.05059878871370735,-0.02467628886076995,3.36,1
182,-0.5684567908568235,-0.030837072926397945,-0.02231648059144378,3.36,1
100,-0.8875600420748739,-0.1280854808623105,0.019840100044875332,3.39,0
101,-0.8801424891174062,-0.13552875831860658,0.01180271038712279,3.39,0
102,-0.8969644433136753,-0.1377344136979468,0.027129189883674704,3.39,0
103,-0.9122512455084925,-0.12914178883066624,0.03186197765455404,3.39,0
104,-0.9219422852700303,-0.12932659153990414,0.04087685857808356,3.39,0
105,-0.833146817119047,-0.1260793378093915,0.009383623472237212,3.39,0
106,-0.7892177747294289,-0.12947979704700474,-0.008793085987040927,3.39,0
107,-0.7452233738245512,-0.1086916931814916,0.016420644984112467,3.39,0
109,-0.7295910696244114,-0.11305516811224148,0.013269080768988988,3.39,0
108,-0.7056167298104435,-0.09666403189211192,0.010094037864381131,3.39,0
171,-0.5237916399316159,-0.013693939806426567,-0.022008882550483035,3.4,1
179,-0.6271458440278844,-0.028428572466428804,-0.02767726536940931,3.4,1
178,-0.593480788096265,-0.04101052029322551,-0.032457577701609515,3.4,1
177,-0.5658728682394958,-0.03756154926539715,-0.028357842210323,3.4,1
176,-0.5469346343803776,-0.04605173362613261,-0.03728685805066621,3.4,1
175,-0.5150086876233951,-0.04971021815194472,-0.04007752526734665,3.4,1
174,-0.4448038539450139,-0.007273295191926705,-0.026494995658487355,3.4,1
173,-0.4760097650858335,-0.010973015484022488,-0.03007016660462437,3.4,1
170,-0.4811804094187201,-0.04521015124158221,-0.02895540383704864,3.4,1
172,-0.4925255415948658,-0.028010851402207337,-0.025371062261771497,3.4,1
97,-0.6834950025827963,-0.1264841376881391,-0.03219746912785216,3.43,0
96,-0.674287000651809,-0.11294744607541032,-0.028216475910352586,3.43,0
95,-0.6432461693901498,-0.11332901332549039,-0.023528398578339046,3.43,0
94,-0.6281560089053925,-0.12777345056500453,-0.04363615859709831,3.43,0
92,-0.6031857261393196,-0.09841655736130042,-0.027112071019801693,3.43,0
91,-0.590455283062319,-0.08524357109018878,-0.012656078137327926,3.43,0
90,-0.5887591532467531,-0.06960611266750315,-0.006681797922247483,3.43,0
98,-0.7080823858480056,-0.13319514701275278,-0.02298203603559073,3.43,0
93,-0.6208118458176936,-0.11634845624724355,-0.03077870048817636,3.43,0
99,-0.7059825883130488,-0.13296829795278337,-0.023273838606099263,3.43,0
161,-0.1504444305443007,-0.08681266457482924,-0.08343421474543293,3.44,1
