Channel Wavelength(nm) Current BackGround Spectrum1 
924 953.18 2342 137 2342 
925 953.73 2335 155 2335 
926 954.28 2344 138 2344 
927 954.82 2316 150 2316 
928 955.37 2349 139 2349 
929 955.92 2347 148 2347 
930 956.47 2345 135 2345 
931 957.01 2351 154 2351 
932 957.56 2341 129 2341 
933 958.11 2322 145 2322 
934 958.66 2334 141 2334 
935 959.2 2299 153 2299 
936 959.75 2316 138 2316 
937 960.3 2302 148 2302 
938 960.85 2334 141 2334 
939 961.4 2313 153 2313 
940 961.94 2261 135 2261 
941 962.49 2287 150 2287 
942 963.04 2283 138 2283 
943 963.59 2302 151 2302 
944 964.13 2262 148 2262 
945 964.68 2266 148 2266 
946 965.23 2272 130 2272 
947 965.78 2273 152 2273 
948 966.33 2245 140 2245 
949 966.87 2274 149 2274 
950 967.42 2253 140 2253 
951 967.97 2239 150 2239 
952 968.52 2234 134 2234 
953 969.06 2205 151 2205 
954 969.61 2228 136 2228 
955 970.16 2187 155 2187 
956 970.71 2199 136 2199 
957 971.26 2184 150 2184 
958 971.8 2170 145 2170 
959 972.35 2197 146 2197 
960 972.9 2143 142 2143 
961 973.45 2180 149 2180 
962 974 2165 130 2165 
963 974.54 2127 155 2127 
964 975.09 2132 140 2132 
965 975.64 2156 143 2156 
966 976.19 2155 131 2155 
967 976.73 2086 146 2086 
968 977.28 2117 144 2117 
969 977.83 2092 145 2092 
970 978.38 2064 136 2064 
971 978.93 2072 153 2072 
972 979.47 2065 143 2065 
973 980.02 2058 150 2058 
974 980.57 2085 134 2085 
975 981.12 2035 152 2035 
976 981.66 2017 131 2017 
977 982.21 2007 148 2007 
978 982.76 1997 136 1997 
979 983.31 2012 151 2012 
980 983.86 2000 135 2000 
981 984.4 1969 150 1969 
982 984.95 2012 134 2012 
983 985.5 1973 156 1973 
984 986.05 1967 137 1967 
985 986.59 1959 153 1959 
986 987.14 1969 136 1969 
987 987.69 1954 148 1954 
988 988.24 1958 132 1958 
989 988.79 1910 148 1910 
990 989.33 1938 136 1938 
991 989.88 1935 147 1935 
992 990.43 1894 138 1894 
993 990.98 1930 151 1930 
994 991.52 1884 143 1884 
995 992.07 1898 146 1898 
996 992.62 1863 145 1863 
997 993.17 1869 152 1869 
998 993.72 1846 148 1846 
999 994.26 1836 153 1836 
1000 994.81 1852 142 1852 
1001 995.36 1823 160 1823 
1002 995.91 1823 142 1823 
1003 996.46 1817 148 1817 
1004 997 1810 135 1810 
1005 997.55 1811 155 1811 
1006 998.1 1804 127 1804 
1007 998.65 1778 156 1778 
1008 999.19 1749 136 1749 
1009 999.74 1783 152 1783 
1010 1000.29 1759 147 1759 
1011 1000.84 1737 146 1737 
1012 1001.39 1729 144 1729 
1013 1001.93 1711 154 1711 
1014 1002.48 1718 141 1718 
1015 1003.03 1721 152 1721 
1016 1003.58 1718 134 1718 
1017 1004.12 1712 149 1712 
1018 1004.67 1711 136 1711 
1019 1005.22 1690 153 1690 
1020 1005.77 1673 135 1673 
1021 1006.32 1674 153 1674 
1022 1006.86 1660 147 1660 
1023 1007.41 1673 154 1673 

Created by=CCD-Array Toolkit
Creation Date & Time=02.04.2019 16:53:58
Total number of channels=1024
Calibration Type=2
Number of points=15
Channel1=85
Wavelength1=491.607
Channel2=113
Wavelength2=507.304
Channel3=183
Wavelength3=546.073
Channel4=239
Wavelength4=576.96
Channel5=269
Wavelength5=593.456
Channel6=288
Wavelength6=604.3
Channel7=404
Wavelength7=668.296
Channel8=455
Wavelength8=696.543
Channel9=516
Wavelength9=730.0306
Channel10=572
Wavelength10=760.956
Channel11=634
Wavelength11=794.818
Channel12=692
Wavelength12=826.453
Channel13=774
Wavelength13=871.666
Channel14=849
Wavelength14=912.297
Channel15=947
Wavelength15=965.778
RxCheckListBox1.Items.Count=0
Correct=0

