,0,1,2,pH
79,1.1448140413265846,0.10248670975084108,-0.004592750501681858,3.24
71,1.2867740225462623,0.13315834711667413,0.027705529531506155,3.24
72,1.2409047178071873,0.1311714928397043,-0.0006737565609337551,3.24
73,1.2225218917872687,0.11155142457993561,-0.0001814363392875491,3.24
74,1.145523126158405,0.10818895492889707,-0.02181701790165227,3.24
70,1.3344374800565362,0.1402008835795699,0.048631019128824796,3.24
76,1.1200620969680708,0.10069213879247725,-0.029890391725426416,3.24
77,1.1020045987307252,0.08707985295456527,-0.0037987464011541706,3.24
78,1.0574649364505577,0.06619703269711977,-0.01674679498660555,3.24
75,1.1269816755076338,0.10521606670975221,-0.02135564994397784,3.24
60,0.9367704574898947,0.02654223797993776,-0.033266247958597166,3.28
67,1.0958160541556,0.06128774560037105,0.03657178616003511,3.28
66,1.0846673826294886,0.061705780291839735,0.012844408293099588,3.28
65,1.0514876889085643,0.056298140886010636,0.007035258434124267,3.28
64,1.036504337269256,0.045952198709492326,-0.012210753020245674,3.28
63,0.9645603548445016,0.032131032311739,-0.0072069851299830555,3.28
62,0.9651892851519678,0.04190328551436741,-0.029209187705378607,3.28
61,0.9400834148694667,0.02498974467926878,-0.0299834910303285,3.28
68,1.1098737311843965,0.07047159968002398,0.01965558093112012,3.28
69,1.1313718994408846,0.08366086093338623,0.02654936370672464,3.28
51,0.9548135830361864,0.009777566309525795,0.0433326622978407,3.32
59,0.8349576197459357,-0.02915908475715179,0.021320800212182973,3.32
58,0.8584916816831285,-0.027676998327549437,0.04183566004967362,3.32
57,0.8765724192695326,-0.019678126135568165,0.0314341357292075,3.32
56,0.8935514333575916,-0.014633073876151148,0.034093520478019175,3.32
55,1.0072396618278237,0.01858837785231255,0.07402681302757791,3.32
54,0.9928720401638986,0.00492039026388407,0.060134540121720016,3.32
53,0.9740661432606936,0.009446236972491353,0.057498938427090474,3.32
52,0.9614577650509488,-0.0038723434486869802,0.04818077135690885,3.32
50,0.9260192526796066,-0.007422026303251956,0.042356252121839626,3.32
42,0.552270208613054,-0.021235448827498393,0.005658884097471604,3.36
43,0.5471600508913068,-0.023615778969908074,0.036034817863652126,3.36
45,0.5112145632132655,-0.01381442395168486,-0.016543587341134855,3.36
46,0.5823481576340084,-0.006010682736516421,-0.01010864759100214,3.36
44,0.5438507082662442,-0.018494515151754667,0.00978727935313922,3.36
48,0.6010149185210968,0.002322119845852629,-0.023409523228228032,3.36
49,0.6119729611782332,0.00820266891725649,-0.03579025808657413,3.36
41,0.519647958319718,-0.019711305060882534,-0.013255934195196271,3.36
47,0.5908403308386052,-0.0018523324985273615,-0.024232733716560786,3.36
40,0.5418174711372142,-0.015360364545679569,-0.03389989329234264,3.36
34,0.428311100546075,-0.0478869570041639,0.033076729106109946,3.4
38,0.5769046635675861,-0.022368091139489885,0.0028453264435457162,3.4
37,0.5495235938964218,-0.020944230289126144,0.008452823057504359,3.4
36,0.530130024303024,-0.024367743730700456,-0.0038718563050981897,3.4
35,0.4980236723317114,-0.027551563584578043,-0.009143833588075695,3.4
33,0.4593417286908014,-0.048438889347363484,0.027765669212963407,3.4
32,0.47623129781203416,-0.029784119973316203,0.01623976188487929,3.4
31,0.5075633880519779,-0.03816238353507024,0.028756835428702263,3.4
30,0.4647959741370992,-0.020893148606971005,0.0017344640984119912,3.4
39,0.6107240247069625,-0.027439721765729452,0.013078690613538295,3.4
21,0.13173177136989245,-0.02796137436254697,-0.0582949592599309,3.44
22,0.14708744670379115,-0.014485146746170761,-0.03660953690370766,3.44
23,0.14904330629331222,-0.02545232563886233,-0.037561753336163295,3.44
24,0.17252118261529,-0.01090462698387886,-0.04750957582893827,3.44
25,0.19253678673139976,-0.007309601568527235,-0.053187632429464164,3.44
27,0.22891946823400414,-0.003480860149328013,-0.04112662795620882,3.44
28,0.2697033091178167,0.0058867179895890605,-0.028700411937570506,3.44
29,0.2833228246141596,0.008432319859838448,-0.022956665482810223,3.44
26,0.20669880112666073,-0.011330624104869784,-0.04934855856204721,3.44
20,0.12611794836817472,-0.03338838460124389,-0.058351515846193795,3.44
18,0.08694624576715035,-0.03439043221237621,-0.031930321313994425,3.47
19,0.12140963280903926,-0.03436722669270851,-0.05482720617218938,3.47
17,0.059908258587085046,-0.05483084666376318,-0.04088136699071059,3.47
16,0.08822704590823036,-0.04971448543258026,-0.03016300572261924,3.47
15,0.11250015229410629,-0.04872695012078934,-0.024877428132342512,3.47
14,0.17346444413553544,-0.026932134606109055,-0.04903319118019305,3.47
13,0.22090259870687637,-0.01456970494394997,-0.02935858404593934,3.47
12,0.28960965153927104,-0.02369490318339657,0.018571798723881018,3.47
11,0.29894664103483526,-0.011258990120839711,-0.030217334333161417,3.47
10,0.32675781306585255,-0.020871844174444903,0.0154487685585302,3.47
0,-0.08476421948448243,-0.05736840238773921,-0.027407559907862655,3.51
8,0.06815156033221505,-0.041882420700308606,-0.00482251443698547,3.51
1,-0.09572691194150018,-0.05993398919780003,-0.03698661516682337,3.51
2,-0.1139263197545393,-0.07007272240351455,-0.05140179320932808,3.51
3,-0.11450042335516017,-0.07258175404972185,-0.05179969571900256,3.51
9,0.07481898935878133,-0.027477632962358788,-0.023240786827056426,3.51
5,-0.027173420030598264,-0.05117846170899088,-0.024643406137808015,3.51
7,0.052335412763594165,-0.041915717707535424,-0.020899347989024483,3.51
4,-0.053991198233047315,-0.059608341774553625,-0.033308545659359444,3.51
6,0.009312667383548398,-0.04301589053471433,-0.018070726851098874,3.51
80,0.22333116103404732,-0.03608942050724259,0.019728755794625418,3.55
81,0.17280880206489516,-0.03945021967526136,0.007816475207824972,3.55
82,0.15111336850020965,-0.023953457025184328,-0.007910216374156552,3.55
83,0.12459740734544153,-0.028857360045173024,-0.019305077953359867,3.55
84,0.08198386289369078,-0.045710624122364145,-0.008250307310302223,3.55
86,-0.0052056271376578235,-0.06161749163277764,-0.0013950460200856673,3.55
87,-0.04090247932644177,-0.06815482168184993,-0.0096611886522678,3.55
88,-0.056494727743502234,-0.06202531083200217,-0.0035963684077002403,3.55
89,-0.03125127328082138,-0.0640518502375251,-0.02311014546197038,3.55
85,0.043082332482876955,-0.04563512500532878,-0.009326186930975512,3.55
99,0.09942947424208629,-0.04716725300311432,0.06120654708626499,3.6
95,-0.01441614372937523,-0.06713533705378867,0.04276033811666158,3.6
98,0.06425447966599797,-0.061010349711833486,0.04831710309599842,3.6
97,0.04344188650144481,-0.05908137893278683,0.03106945869207415,3.6
96,0.03378420463717815,-0.07112726395260956,0.05063077779841737,3.6
94,-0.013908551143882503,-0.0781022666993419,0.05979601933781902,3.6
92,-0.046359148540932454,-0.0901546686637665,0.03789547701072482,3.6
91,-0.05031255851052399,-0.09586718289805268,0.052348062399786725,3.6
90,-0.06661802876379991,-0.09301994031769696,0.016959233986938667,3.6
93,-0.036546094672527195,-0.0826087345075376,0.04577021558516437,3.6
109,-0.39135175796925503,-0.009486382548538083,-0.026728407017537856,3.65
108,-0.48432312581691733,-0.04255785231571411,-0.03572005606932749,3.65
107,-0.47145463465559945,-0.02983613089739075,-0.02358809320537552,3.65
106,-0.44964963643217304,-0.04021050237181112,-0.04514155873098044,3.65
105,-0.41962560547613953,-0.01697685668354876,-0.02848253146227103,3.65
104,-0.3807846513422685,-0.02415545691035603,-0.011153352008069432,3.65
102,-0.3500058165857682,0.026981930278864783,-0.03666744609065459,3.65
101,-0.31166453535712385,0.003856313008015907,-0.02740715932916589,3.65
100,-0.2743293314124729,0.006813720491212704,-0.03695193353736801,3.65
103,-0.3592757788305674,-0.016268838610004166,-0.0008629050390450329,3.65
119,-0.32816814755876184,-0.04437534319242325,0.04259216797867499,3.7
118,-0.35315502606731675,-0.03838467844607654,0.056965354190530865,3.7
117,-0.377970376146319,-0.06267058967812775,0.042875978094019836,3.7
116,-0.38005340944015,-0.03835735158125582,0.04965181843851408,3.7
115,-0.4104107144427579,-0.03247178966834647,0.03251599050063568,3.7
113,-0.4548396192380119,-0.05191793372770261,0.03766975158014866,3.7
112,-0.46921830971119344,-0.06371421837962633,0.04145515963086398,3.7
111,-0.45354621951685525,-0.047689012992473086,0.02409002472843249,3.7
110,-0.4874978819846621,-0.0716831873063679,0.01691655682387971,3.7
114,-0.4319126742844784,-0.05972361341987172,0.040409171890030814,3.7
129,-0.7954039625402366,0.0064750411544657145,-0.014222599697383313,3.75
128,-0.7934112140188222,0.01755589380620286,-0.03589098495196663,3.75
127,-0.7630677679798205,0.00598674726970198,-0.03259923692449334,3.75
126,-0.7639797187427956,0.03940835714815637,-0.06321516580253833,3.75
125,-0.7364426263825472,0.040548344155847064,-0.0700140450709152,3.75
124,-0.6960657249097406,0.03958792358458091,-0.04547298392477663,3.75
123,-0.6920048047541434,0.022942252525506027,-0.05064747784974255,3.75
122,-0.6559983494091397,0.05219311346142499,-0.06593174944738557,3.75
121,-0.6209715018954081,0.07021969049435035,-0.06452909507994768,3.75
120,-0.5985865292034365,0.061602502494105454,-0.07186697385821016,3.75
138,-0.759891574360936,0.016829600267246097,0.002506156689669424,3.8
139,-0.7025118057057147,0.01709534914509086,0.012230468382099258,3.8
136,-0.8392033144505979,0.02436219553616648,-0.006976909412483695,3.8
135,-0.8769578568860952,0.028963701024907626,-0.019591133180613205,3.8
137,-0.8120123341293525,0.018144845830916696,-0.011463640957504864,3.8
133,-0.9552549185253413,-0.0040325689536196245,-0.005115655010386608,3.8
132,-0.9450637940667186,0.00033856389848492297,-0.01620015801060131,3.8
131,-0.9132545604185418,0.012459879479787838,-0.003611173383964816,3.8
130,-0.9502873253929307,0.0003165085567966416,0.005476900404761414,3.8
134,-0.8904926357613928,0.018909090373401792,-0.0046405018113477425,3.8
149,-1.1115788189604987,0.01734411523589023,0.04010328590042459,3.86
148,-1.0832301648328415,0.018637327779593538,0.041663538019484816,3.86
146,-1.0292301642483692,0.02463737894718437,0.039704641460357286,3.86
145,-1.00919441070262,0.03964595251547736,0.011134315338958978,3.86
147,-1.067818854283805,0.028157413419197235,0.016714408276980234,3.86
143,-0.925504000428691,0.03522962113321293,0.04534500068534523,3.86
